Name,Category,Type
rev-upi/cred//,Reversal,Reversal
nach--dr-smallcase- aqgnmmjrw,Investment,Fixed
chrg: imps transaction dated on - aug-(value date: --),Charges,Variable
nach--dr-bluchip n int- uxnxsji,Investment,Fixed
pg  swiggy,Food,Variable
nach--dr-smallcase- glxqwxbhmm,Investment,Fixed
nach--dr-fo mirae-iiczviqfvbnachdb,Investment,Fixed
nach--dr-fo mirae- uckshouf,Investment,Fixed
os razorecom park,Travel,Variable
chrg: ecs mandate- kb - apr-,Charges,Variable
sentimpsananda kri/icicx/rent,Rent,Fixed
chrg: imps transaction dated on - feb-,Charges,Variable
pcd//cycle gap hospitality/chennai/:,Food,Variable
rev-upi/amazon pay// upi-,Reversal,Reversal
nach--dr-icici and axis- ruzmratxllz,Investment,Fixed
pcd//vista speciality diagn/hydera/:,Health,Variable
